# Residuals  
# Time       	Ux           	Uy           	p            
431          	1.610340e-10	8.064170e-11	5.288040e-07
432          	1.588740e-10	7.934110e-11	5.288090e-07
433          	1.567430e-10	7.807750e-11	5.288130e-07
434          	1.546400e-10	7.685820e-11	5.288170e-07
435          	1.525640e-10	7.567090e-11	5.288210e-07
436          	1.505160e-10	7.450920e-11	5.288250e-07
437          	1.484950e-10	7.337470e-11	5.288290e-07
438          	1.465010e-10	7.226780e-11	5.288330e-07
439          	1.445330e-10	7.119850e-11	5.288370e-07
440          	1.425900e-10	7.016130e-11	5.288400e-07
441          	1.406740e-10	6.915400e-11	5.288440e-07
442          	1.387830e-10	6.817240e-11	5.288470e-07
443          	1.369160e-10	6.721320e-11	5.288500e-07
444          	1.350750e-10	6.627430e-11	5.288530e-07
445          	1.332580e-10	6.537250e-11	5.288570e-07
446          	1.314650e-10	6.448810e-11	5.288600e-07
447          	1.296950e-10	6.362060e-11	5.288630e-07
448          	1.279490e-10	6.277190e-11	5.288660e-07
449          	1.262260e-10	6.195010e-11	5.288690e-07
450          	1.245260e-10	6.115220e-11	5.288720e-07
451          	1.228490e-10	6.036880e-11	5.288750e-07
452          	1.211930e-10	5.959940e-11	5.288780e-07
453          	1.195600e-10	5.885400e-11	5.288800e-07
454          	1.179480e-10	5.812910e-11	5.288830e-07
455          	1.163580e-10	5.742160e-11	5.288860e-07
456          	1.147890e-10	5.673730e-11	5.288880e-07
457          	1.132400e-10	5.606710e-11	5.288900e-07
458          	1.117130e-10	5.540780e-11	5.288930e-07
459          	1.102050e-10	5.476180e-11	5.288950e-07
460          	1.087180e-10	5.413110e-11	5.288970e-07
461          	1.072500e-10	5.351070e-11	5.288990e-07
462          	1.058020e-10	5.290180e-11	5.289010e-07
463          	1.043730e-10	5.231260e-11	5.289030e-07
464          	1.029630e-10	5.173810e-11	5.289050e-07
465          	1.015720e-10	5.117630e-11	5.289070e-07
466          	1.001990e-10	5.062580e-11	5.289090e-07
467          	9.884490e-11	5.008300e-11	5.289100e-07
468          	9.750860e-11	4.955170e-11	5.289120e-07
469          	9.619000e-11	4.903260e-11	5.289140e-07
470          	9.488910e-11	4.852470e-11	5.289150e-07
471          	9.360560e-11	4.802390e-11	5.289170e-07
472          	9.233910e-11	4.753080e-11	5.289180e-07
473          	9.108950e-11	4.704880e-11	5.289190e-07
474          	8.985660e-11	4.657920e-11	5.289210e-07
475          	8.864020e-11	4.611670e-11	5.289220e-07
476          	8.744000e-11	4.566350e-11	5.289230e-07
477          	8.625590e-11	4.521910e-11	5.289250e-07
