# Field minima and maxima
# Time         	field          	min            	location(min)  	processor      	max            	location(max)  	processor      
0.15           	alpha.water    	-4.81388284e-08	(0.00000000e+00 4.70000000e-01 5.10000000e-01)	0	1.00000214e+00	(5.00000000e-02 5.10000000e-01 6.10000000e-01)	0
0.154167       	p              	-7.62934996e+01	(1.00000000e-02 5.10000000e-01 6.10000000e-01)	0	1.96041461e+03	(1.90000000e-01 0.00000000e+00 6.10000000e-01)	0
0.154167       	p_rgh          	-1.21533025e+00	(1.70000000e-01 6.10000000e-01 7.10000000e-01)	3	6.85917580e+03	(0.00000000e+00 6.90000000e-01 6.70000000e-01)	3
0.154167       	U              	(-2.27442213e-01 -2.72489976e-01 -5.13352430e-01)	(1.70000000e-01 3.90000000e-01 4.70000000e-01)	0	(1.18647420e-01 3.30568638e-01 4.35382370e-01)	(3.00000000e-02 4.30000000e-01 5.30000000e-01)	0
0.154167       	alpha.water    	-8.59484393e-07	(0.00000000e+00 4.70000000e-01 6.90000000e-01)	0	1.00000177e+00	(5.00000000e-02 5.10000000e-01 6.10000000e-01)	0
0.15875        	p              	-7.67093815e+01	(1.00000000e-02 5.10000000e-01 6.10000000e-01)	0	1.96046596e+03	(2.10000000e-01 0.00000000e+00 6.10000000e-01)	0
0.15875        	p_rgh          	-1.27759969e+00	(1.70000000e-01 6.10000000e-01 7.10000000e-01)	3	6.85922894e+03	(0.00000000e+00 6.90000000e-01 6.70000000e-01)	3
0.15875        	U              	(-3.71176668e-01 -1.55797894e-01 -4.12633956e-01)	(1.10000000e-01 2.90000000e-01 5.10000000e-01)	0	(1.02370056e-01 3.23539819e-01 4.32666084e-01)	(3.00000000e-02 4.30000000e-01 5.30000000e-01)	0
0.15875        	alpha.water    	-2.20294895e-06	(0.00000000e+00 4.70000000e-01 6.90000000e-01)	0	1.00000131e+00	(3.00000000e-02 5.10000000e-01 5.90000000e-01)	0
0.163906       	p              	-7.69719204e+01	(1.00000000e-02 5.10000000e-01 5.90000000e-01)	0	1.96049428e+03	(2.10000000e-01 0.00000000e+00 6.10000000e-01)	0
0.163906       	p_rgh          	-1.28421128e+00	(0.00000000e+00 4.70000000e-01 6.70000000e-01)	0	6.85925595e+03	(0.00000000e+00 6.90000000e-01 6.70000000e-01)	3
